Mirosława NYKIEL;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;11,1;49436
Zbigniew Tadeusz ZIOBRO;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;11,07;74592
Andrzej ŚLIWKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;10,99;32895
Bogdan Andrzej ZDROJEWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;10,97;85099
Łukasz Karol LITEWKA;KOMITET WYBORCZY NOWA LEWICA;10,74;40579
Kamila GASIUK-PIHOWICZ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;10,68;57609
Piotr Józef MÜLLER;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;10,66;72813
Marta Anna WCISŁO;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;10,56;68449
Michał KOŁODZIEJCZAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;10,51;44062
Michał Piotr WOŚ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;10,46;39902
Ewa Danuta MALIK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;10,45;39498
Alicja Paulina CHYBICKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;10,16;78816
Waldemar Grzegorz BUDA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;9,96;45474
Barbara DOLNIAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;9,91;37470
Marzena OKŁA-DREWNOWICZ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;9,86;64990
Jan Stanisław GRABIEC;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;9,79;71534
Jacek Robert SASIN;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;9,76;59490
Czesław HOC;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;9,73;31360
Marek Witold SUSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;9,68;37853
Mariusz KAMIŃSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;9,67;44195
Tomasz SIEMONIAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;9,63;46223
Krzysztof TRUSKOLASKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;9,46;57664
Krzysztof Jan GADOWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;9,44;36031
Paweł Robert KOWAL;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;9,43;63534
Jarosław Piotr URBANIAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;9,35;50724
Paweł Maciej SZEFERNAKER;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;9,24;29764
Krzysztof Władysław CZARNECKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;9,06;37420
Paweł Piotr KUKIZ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;9,02;43292
Piotr BORYS;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;8,95;44912
Jacek Krzysztof KARNOWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;8,94;55069
Bogusław WOŁOSZAŃSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;8,87;35202
Anna KWIECIEŃ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;8,84;34570
Adam ANDRUSZKIEWICZ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;8,8;53632
Monika Anna ROSA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;8,53;44857
Bolesław Grzegorz PIECHA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;8,5;32427
Marcin Michał OCIEPA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;8,42;40418
Radosław Aleksander FOGIEL;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;8,38;32791
Robert GONTARZ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;8,33;24940
Łukasz Paweł SCHREIBER;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;8,32;44413
Janusz Władysław CICHOŃ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;8,27;32356
Antoni MACIEREWICZ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;8,19;32496
Daniel George MILEWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;8,18;44145
Marek Józef GRÓBARCZYK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;8,01;44422
Piotr Tadeusz GLIŃSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;7,89;135339
Dorota NIEDZIELA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;7,89;28783
Bożena Teresa BORYS-SZOPA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;7,86;30445
Maciej MAŁECKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;7,61;33696
Wojciech Paweł SAŁUGA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;7,61;28781
Szymon Andrzej SZYNKOWSKI VEL SĘK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;7,58;45167
Grzegorz Paweł PUDA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;7,57;33728
Jarosław SACHAJKO;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;7,38;33727
Krzysztof BOSAK;KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ;7,37;44902
Magdalena FILIKS;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;7,36;40772
Marcin Piotr GWÓŹDŹ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;7,25;23434
Paulina HENNIG-KLOSKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;7,24;30334
Piotr ZGORZELSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;7,23;32011
