lubelskie;Lublin;257526;195333;299;1895;63744;58388;34490;14776;14736;7159
lubelskie;łęczyński;42619;30225;49;681;14582;6011;3322;1274;2903;1443
lubelskie;łukowski;78700;57489;135;1370;30860;7289;7129;1943;5203;3670
lubelskie;opolski;45208;30007;54;743;16105;4195;4404;1275;2308;967
lubelskie;parczewski;25977;17811;57;415;8719;2490;2817;926;1382;1046
lubelskie;puławski;87866;64657;218;1204;28212;14244;9584;3677;5144;2513
lubelskie;radzyński;44197;30886;82;725;16332;3335;4824;1278;2420;1961
lubelskie;rycki;42057;31139;100;623;15614;4720;5210;1612;2271;1078
lubelskie;świdnicki;54373;39269;114;560;17686;7447;6788;2164;3132;1432
lubelskie;tomaszowski;62858;40697;148;806;22389;5719;4762;1716;3143;2146
lubelskie;włodawski;29281;19677;66;521;8724;3813;3090;1319;1372;832
lubelskie;zamojski;81462;54763;183;1161;30491;6705;6365;2327;4332;3355
lubelskie;Zamość;45930;32287;53;390;13401;7913;4633;2350;2173;1384
lubuskie;gorzowski;54222;39339;44;942;10202;14316;5699;3814;2968;1381
lubuskie;Gorzów Wielkopolski;86213;64172;86;958;16297;25109;9248;6042;4057;2368
lubuskie;krośnieński;40830;28030;53;814;7366;11646;3867;1846;1589;876
lubuskie;międzyrzecki;42919;29712;45;915;8322;9659;5053;2620;1947;1170
lubuskie;nowosolski;62801;43929;77;1021;13464;15551;6253;3289;2693;1612
lubuskie;słubicki;35993;25352;46;701;6243;9232;3434;3230;1678;824
lubuskie;strzelecko-drezdenecki;36211;24262;46;764;7528;7291;4732;1811;1332;787
lubuskie;sulęciński;25903;17638;39;735;5587;5743;2272;1165;1160;966
lubuskie;świebodziński;41249;29233;29;769;8285;10239;4573;2256;1988;1114
lubuskie;wschowski;28678;19397;34;550;7238;5315;3043;1330;1239;672
lubuskie;Zielona Góra;103739;82150;133;904;16932;35872;11484;9664;4614;2579
lubuskie;zielonogórski;56889;40740;58;1180;10269;15150;6161;3441;2793;1723
lubuskie;żagański;56558;38121;70;1022;12222;12495;5634;3051;2334;1334
lubuskie;żarski;69712;47839;64;1164;13575;17473;6480;4352;3280;1498
łódzkie;bełchatowski;84311;64005;135;1406;29072;11539;7072;4374;6524;3983
łódzkie;brzeziński;24008;18159;54;332;8004;4058;2523;1364;1299;573
łódzkie;kutnowski;72674;51485;137;1271;22508;13042;5427;4657;2871;1648
łódzkie;łaski;38758;29215;59;626;11950;7350;4362;2087;1928;899
łódzkie;łęczycki;38870;27246;56;816;13050;5760;3225;1522;1879;983
łódzkie;łowicki;60190;44583;70;1177;20205;7532;7244;2774;4178;1460
łódzkie;łódzki wschodni;57888;46442;84;526;16604;14477;6103;3994;3275;1441
łódzkie;Łódź;499671;396994;592;3326;97825;168992;45657;50412;20854;9097
łódzkie;opoczyński;57146;43255;83;859;24437;5361;6263;1875;3197;1236
łódzkie;pabianicki;91368;71572;211;1179;22126;24560;8951;7759;4426;2473
łódzkie;pajęczański;39358;28883;84;726;14939;4232;4610;1680;1829;842
łódzkie;piotrkowski;70688;52555;102;1141;27191;7656;8225;2591;3975;1764
łódzkie;Piotrków Trybunalski;53424;40161;65;557;14161;13737;4873;3273;2378;1136
łódzkie;poddębicki;32585;23668;45;703;10717;3971;4613;1371;1364;917
łódzkie;radomszczański;85438;61606;180;1408;28181;15700;6269;3727;3742;2547
łódzkie;rawski;37200;27014;36;732;12863;4226;4695;1287;2278;905
łódzkie;sieradzki;89584;65613;112;1529;29300;14256;9344;3962;4453;2698
łódzkie;Skierniewice;35400;28024;57;340;9145;8518;4343;2751;1851;1031
łódzkie;skierniewicki;29784;23053;45;578;11898;2698;3516;1441;1918;992
łódzkie;tomaszowski;86678;65843;107;1406;27981;16648;9223;4021;4384;2147
łódzkie;wieluński;58142;42870;97;866;19392;9383;6591;2613;2661;1359
łódzkie;wieruszowski;32988;23813;37;556;9804;4452;3954;1610;1945;1486
łódzkie;zduńskowolski;49182;36596;57;678;14292;10357;5825;1974;2245;1205
łódzkie;zgierski;128176;99868;165;1740;32748;33143;13167;9179;6604;3205
małopolskie;bocheński;81728;61825;152;941;31630;8666;11450;2065;4914;2130
małopolskie;brzeski;70436;49247;102;898;25387;6708;8077;1679;4476;1996
małopolskie;chrzanowski;93368;70138;110;964;24663;21772;10088;5865;4647;2040
małopolskie;dąbrowski;44970;28284;68;571;17241;2728;4237;698;1979;824
małopolskie;gorlicki;82316;56836;141;995;28917;9272;8087;2142;4475;2900
małopolskie;krakowski;221819;173792;336;2796;67763;43605;28138;11170;14616;5613
małopolskie;Kraków;613943;503600;760;4673;124957;171227;86662;64712;37421;13449
małopolskie;limanowski;98010;71669;115;1232;42203;6547;9631;1759;6059;4217
małopolskie;miechowski;37909;26518;59;561;13701;3825;3876;1534;1976;1036
małopolskie;myślenicki;98121;75092;122;1197;36454;12430;12318;2750;7010;2903
małopolskie;nowosądecki;163827;121828;240;1962;70795;14627;11708;3192;11059;8438
małopolskie;nowotarski;146968;97109;167;1946;50009;16161;10033;2979;8773;7182
małopolskie;Nowy Sącz;60529;45767;72;441;19458;12483;5174;1910;3699;2556
małopolskie;olkuski;84150;63350;122;1082;26009;14142;9017;6217;4422;2434
małopolskie;oświęcimski;115061;88026;225;1176;33439;24715;12165;7028;5960;3518
małopolskie;proszowicki;33742;23509;48;566;12240;2601;4631;919;1908;636
małopolskie;suski;64175;46028;146;843;22869;8681;5886;1902;4113;1713
małopolskie;tarnowski;152814;106653;193;1836;58720;12665;17133;3327;8518;4408
małopolskie;Tarnów;81545;59088;131;592;21559;15894;12065;3163;3788;1973
małopolskie;tatrzański;58090;41462;77;598;18205;9714;4854;1612;3236;3226
małopolskie;wadowicki;121841;91341;198;1537;38883;20810;14128;4491;7024;4406
małopolskie;wielicki;103342;81606;127;985;29656;19428;17636;4301;6658;2879
mazowieckie;białobrzeski;26125;19787;41;486;10992;2976;2491;825;1421;582
mazowieckie;ciechanowski;67241;48650;99;933;22320;10444;7065;3098;3226;1539
mazowieckie;garwoliński;82911;64426;138;1453;34815;8726;9102;2442;5118;2753
mazowieckie;gostyniński;34253;24145;55;595;11396;5436;3263;1193;1469;785
mazowieckie;grodziski;76274;62846;117;660;17995;22552;10327;4348;4528;2410
mazowieckie;grójecki;80216;61921;107;1052;24464;12891;12782;4064;4404;2202
mazowieckie;kozienicki;46815;34691;93;686;17297;6625;4728;1678;2397;1229
mazowieckie;legionowski;95373;79446;130;706;22696;30993;11383;5689;5101;2829
mazowieckie;lipski;26091;17498;26;413;9634;2270;2321;943;1184;730
